n,time
20,8.4477e-06
30,1.50752e-05
40,1.57506e-05
50,2.11184e-05
60,2.4471e-05
70,3.64395e-05
80,3.13695e-05
90,3.44191e-05
100,3.82369e-05
200,8.20321e-05
300,0.000141642
400,0.00017322
500,0.000224703
600,0.000263814
700,0.000288948
800,0.000275463
900,0.000281435
1000,0.00029722
2000,0.000687107
3000,0.00120443
4000,0.00135088
5000,0.00188911
6000,0.00231874
7000,0.0024119
8000,0.00288597
9000,0.00317876
10000,0.00391147
20000,0.00678235
30000,0.0100707
40000,0.0130599
50000,0.0172979
60000,0.02051
70000,0.0291541
80000,0.029829
90000,0.0306862
100000,0.0389625
200000,0.067382
300000,0.100647
400000,0.130745
500000,0.152721
600000,0.181479
700000,0.217515
800000,0.243426
900000,0.275902
1000000,0.300767
