n,time
20,1.45142e-05
30,2.25932e-05
40,2.94473e-05
50,3.64461e-05
60,4.37565e-05
70,4.99336e-05
80,4.45173e-05
90,4.72886e-05
100,3.23205e-05
200,7.2485e-05
300,0.000131416
400,0.000122675
500,0.000153459
600,0.000236259
700,0.000244497
800,0.000336789
900,0.00029444
1000,0.000446677
2000,0.000873263
3000,0.00138425
4000,0.00144766
5000,0.00195275
6000,0.00256495
7000,0.00278317
8000,0.00353801
9000,0.00389887
10000,0.00376133
20000,0.00722192
30000,0.0121662
40000,0.0146198
50000,0.0170837
60000,0.0196586
70000,0.0244543
80000,0.0256695
90000,0.0311801
100000,0.0350539
200000,0.0616407
300000,0.0951483
400000,0.133973
500000,0.153297
600000,0.201242
700000,0.218664
800000,0.265068
900000,0.299619
1000000,0.320957
