n,time
20,7.6845e-06
30,1.06877e-05
40,1.88528e-05
50,2.22597e-05
60,2.34212e-05
70,3.05435e-05
80,3.4888e-05
90,3.86325e-05
100,4.59001e-05
200,9.50027e-05
300,0.00015153
400,0.000202184
500,0.000246124
600,0.000327722
700,0.000370064
800,0.000434008
900,0.000475413
1000,0.000518953
2000,0.00114159
3000,0.00180521
4000,0.00238036
5000,0.00320463
6000,0.00379784
7000,0.00437263
8000,0.00501097
9000,0.00685343
10000,0.00667237
20000,0.0137643
30000,0.0203389
40000,0.0289941
50000,0.035794
60000,0.042523
70000,0.0522612
80000,0.0595427
90000,0.0669385
100000,0.0742324
200000,0.154925
300000,0.244301
400000,0.323677
500000,0.40285
600000,0.508776
700000,0.592139
800000,0.67393
900000,0.756434
1000000,0.841108
